submission_id,age,gender,education_level,employment_status,number_children,work_from_home,cups_per_day,where_drink,brew_methods,purchase_locations,favorite_drink,preferred_style,preferred_strength,preferred_roast_level,caffeine_preference,expertise,likes_coffee_taste,knows_coffee_source,expertise_segment,expertise_segment_order,monthly_coffee_spend,monthly_spend_band_order,estimated_monthly_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,is_premium_customer,preferred_abc,preferred_a_or_d,preferred_overall
7dJ9VA,25-34 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,2,"At home, At a cafe, At the office","Pour over, Other",,Pourover,Full Bodied,Somewhat strong,Light,Full caffeine,6.0,Yes,,Intermediate,2,$40-$60,3.0,50.0,$6-$8,$8-$10,No,$50-$100,Yes,0,Coffee B,Coffee D,Coffee D
kY005o,18-24 years old,Male,Some college or associate's degree,Student,,I primarily work from home,1,At home,Espresso,,Cortado,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$6-$8,No,$500-$1000,Yes,0,Coffee B,Coffee D,Coffee D
8dJJGz,35-44 years old,Female,Bachelor's degree,Employed full-time,2,I primarily work from home,2,"On the go, At home","Pour over, French press, Coffee extract (e.g. Cometeer)","National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",Pourover,Fruity,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$80-$100,5.0,90.0,$8-$10,$10-$15,Yes,$100-$300,Yes,0,Coffee B,Coffee A,Coffee B
zK00O8,35-44 years old,Male,Bachelor's degree,Employed full-time,2,I do a mix of both,2,"At home, On the go",Pour over,"National chain (e.g. Starbucks, Dunkin)",Iced coffee,Bold,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$80-$100,5.0,90.0,More than $20,More than $20,No,$100-$300,Yes,1,Coffee A,Coffee A,Coffee A
6d1rZe,25-34 years old,Male,Bachelor's degree,Employed full-time,1,I do a mix of both,2,At home,"Pour over, Espresso, Coffee extract (e.g. Cometeer)",,Espresso,Juicy,Very strong,Light,Full caffeine,9.0,Yes,Yes,Expert,4,$40-$60,3.0,50.0,$15-$20,More than $20,Yes,"More than $1,000",Yes,0,Coffee A,Coffee D,Coffee D
1rbD1L,25-34 years old,,,,,,2,At home,French press,,Americano,Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
RzZv5d,45-54 years old,Female,Some college or associate's degree,Unemployed,,I primarily work from home,Less than 1,At home,Other,,Blended drink (e.g. Frappuccino),Sweet,Somewhat light,Medium,Full caffeine,1.0,Yes,No,Beginner,1,<$20,1.0,10.0,$2-$4,$2-$4,No,Less than $20,Yes,0,Coffee B,Coffee A,Coffee B
rl0J0M,25-34 years old,,,,,,3,"At the office, At home, At a cafe","Pour over, French press, Cold brew, Espresso, Other",,Espresso,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
RzZVaP,<18 years old,,,,,,1,At home,Pour over,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
NA4d6b,,,,,,,,,,,Other,,,,,,,,Unknown,5,,,,,,,,,0,,,
1rb6OQ,,,,,,,,,,,,,,Dark,,,,,Unknown,5,,,,,,,,,0,,,
PA2krV,25-34 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work in person,2,At home,Pour over,,Pourover,Fruity,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$6-$8,$10-$15,Yes,$500-$1000,Yes,1,Coffee A,Coffee A,Coffee A
BGL0v1,25-34 years old,Female,Bachelor's degree,Homemaker,1,,1,At home,Pour over,,Pourover,Fruity,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$6-$8,$8-$10,No,$500-$1000,Yes,1,Coffee C,Coffee D,Coffee D
RzZjd9,35-44 years old,,,,,,2,"At home, On the go","Pour over, Espresso",Specialty coffee shop,Pourover,Bright,Medium,Light,Full caffeine,6.0,,,Intermediate,2,,,,,,,,,0,Coffee A,Coffee A,Coffee A
PA2rZb,18-24 years old,,,,,,3,,,"National chain (e.g. Starbucks, Dunkin)",,Juicy,,,Full caffeine,2.0,,,Beginner,1,,,,,,,,,0,,,
0EbG0A,25-34 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work from home,2,"At home, At a cafe",Pour over,,Pourover,Fruity,Somewhat light,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$15-$20,Yes,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee A
0EblMP,18-24 years old,,,,,,2,At home,Coffee extract (e.g. Cometeer),,Regular drip coffee,,,,,,,,Unknown,5,,,,,,,,,0,,,
QAxXXp,25-34 years old,Female,,,,I primarily work from home,2,At home,Pour over,,Pourover,Bright,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,>$100,6.0,110.0,More than $20,More than $20,Yes,$300-$500,Yes,1,Coffee A,Coffee A,Coffee A
VZ9yLy,35-44 years old,Male,Doctorate or professional degree,Employed full-time,,I primarily work from home,4,"At home, At a cafe","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",,Pourover,Nutty,Very strong,Medium,Half caff,7.0,Yes,No,Advanced,3,$80-$100,5.0,90.0,$6-$8,$6-$8,No,$300-$500,No,1,Coffee C,Coffee D,Coffee D
dYZVYz,35-44 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work from home,2,At home,Espresso,,Cortado,Chocolatey,Somewhat strong,Dark,Full caffeine,5.0,Yes,No,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$4-$6,No,"More than $1,000",Yes,0,Coffee C,Coffee A,Coffee C
421dxO,45-54 years old,Male,Doctorate or professional degree,Employed full-time,1,I primarily work in person,2,At home,"Pour over, Espresso, Coffee extract (e.g. Cometeer)",,Pourover,Floral,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$15-$20,More than $20,Yes,$500-$1000,Yes,0,Coffee C,Coffee D,Coffee D
g5QpyD,>65 years old,Male,Master's degree,Retired,2,,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,Americano,Full Bodied,Somewhat strong,Medium,Half caff,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$4-$6,Yes,$100-$300,Yes,0,Coffee C,Coffee D,Coffee C
ZdGyJa,45-54 years old,Male,Some college or associate's degree,Employed full-time,1,I primarily work from home,1,At home,"Pour over, Espresso",,Espresso,Fruity,Somewhat strong,Light,Half caff,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$8-$10,Yes,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee D
6d159J,18-24 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,2,"At home, At the office","Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",,Regular drip coffee,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,Yes,No,Advanced,3,<$20,1.0,10.0,$8-$10,$8-$10,No,$100-$300,Yes,0,Coffee B,Coffee D,Coffee B
9d6yGX,18-24 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work in person,2,At home,"Pour over, French press, Espresso",,Pourover,Fruity,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$10-$15,$15-$20,,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
EPBEDN,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,2,At home,Pour over,,Pourover,Bright,Somewhat strong,Light,Full caffeine,3.0,Yes,Yes,Beginner,1,$40-$60,3.0,50.0,$4-$6,$8-$10,Yes,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
OAj9JK,25-34 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work in person,1,"On the go, At home, At the office","Pour over, Espresso, Other",Local cafe,Espresso,Chocolatey,Somewhat strong,Medium,Half caff,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$2-$4,$6-$8,No,$300-$500,Yes,0,Coffee A,Coffee A,Coffee D
VZ9APy,35-44 years old,Male,Bachelor's degree,Employed full-time,1,I primarily work in person,3,"At home, On the go","Pour over, Espresso",Specialty coffee shop,Pourover,Fruity,Somewhat strong,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$8-$10,$10-$15,Yes,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
zK02pE,55-64 years old,Male,Doctorate or professional degree,Employed full-time,2,I primarily work in person,2,At home,Other,,Other,Full Bodied,Somewhat strong,Medium,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,$10-$15,Yes,$300-$500,Yes,0,Coffee C,Coffee A,Coffee C
pL09rJ,35-44 years old,Male,High school graduate,Employed full-time,2,I primarily work from home,1,At home,French press,,Americano,Bright,Somewhat light,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$2-$4,$2-$4,No,$50-$100,Yes,0,Coffee C,Coffee A,Coffee C
vN01zX,55-64 years old,Male,Doctorate or professional degree,Employed full-time,2,I do a mix of both,2,"At home, At the office","Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,Regular drip coffee,Juicy,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$4-$6,$6-$8,No,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
dYZ1Ly,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,3,"At home, At the office","Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee)",,Cortado,Bold,Very strong,Dark,Full caffeine,4.0,Yes,No,Intermediate,2,$40-$60,3.0,50.0,$10-$15,$15-$20,No,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
yl0p26,25-34 years old,Male,Master's degree,Student,,I primarily work from home,1,At home,Espresso,,Other,Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$6-$8,$10-$15,No,"More than $1,000",Yes,0,Coffee C,Coffee A,Coffee C
xd0LMk,25-34 years old,Female,Doctorate or professional degree,Student,,I primarily work in person,1,At home,Espresso,,Cappuccino,Bright,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,$6-$8,No,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
0EbyNZ,25-34 years old,Non-binary,Some college or associate's degree,Employed full-time,,I primarily work in person,1,"At a cafe, At home","Pour over, Coffee extract (e.g. Cometeer)",,Pourover,Juicy,Medium,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,More than $20,Yes,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
EPBrrA,35-44 years old,Female,Master's degree,Employed full-time,1,I do a mix of both,1,"At home, On the go","Pour over, Espresso","Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Americano,Chocolatey,Medium,Light,Half caff,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,$8-$10,No,$500-$1000,Yes,0,Coffee B,Coffee A,Coffee B
KMPNqA,,,,,,,,At home,Pour over,,Pourover,Juicy,Medium,Light,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
dYZ4Lq,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,2,At home,Espresso,,Latte,Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,Yes,No,Intermediate,2,$40-$60,3.0,50.0,$6-$8,$8-$10,No,"More than $1,000",Yes,0,Coffee C,Coffee D,Coffee D
aBjPVB,18-24 years old,Male,High school graduate,Employed full-time,,I primarily work in person,3,"At home, At the office","Espresso, Other",,Espresso,Full Bodied,Very strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$8-$10,No,$500-$1000,Yes,0,Coffee B,Coffee A,Coffee B
PA2LNd,25-34 years old,,,,,,1,At home,Other,,Regular drip coffee,Bright,Medium,Light,Full caffeine,7.0,,,Advanced,3,,,,,,,,,0,,,
WAeXWR,25-34 years old,Male,Doctorate or professional degree,Employed full-time,,I primarily work in person,2,"At home, At the office, At a cafe","Pour over, French press",,Cappuccino,Fruity,Medium,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$6-$8,$6-$8,Yes,$100-$300,Yes,0,Coffee B,Coffee D,Coffee B
Al6NMo,18-24 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,Less than 1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,Blended drink (e.g. Frappuccino),Full Bodied,Medium,Medium,Full caffeine,3.0,Yes,No,Beginner,1,$20-$40,2.0,30.0,$6-$8,$10-$15,No,$100-$300,No,0,Coffee B,Coffee D,Coffee B
RzZQG9,18-24 years old,Male,High school graduate,Employed full-time,,I primarily work in person,3,At home,"Espresso, Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",,Latte,Bold,Very strong,Dark,Full caffeine,10.0,Yes,Yes,Expert,4,$40-$60,3.0,50.0,$10-$15,$10-$15,No,"More than $1,000",Yes,0,Coffee B,Coffee D,Coffee B
pL0X88,25-34 years old,Female,Doctorate or professional degree,Student,,I primarily work from home,1,At home,Espresso,,Latte,Nutty,Somewhat strong,Medium,Decaf,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$8-$10,No,"More than $1,000",Yes,0,Coffee B,Coffee D,Coffee B
YZoXgd,25-34 years old,Male,Some college or associate's degree,Employed part-time,,I primarily work in person,1,"At a cafe, At home","Pour over, Other",,Regular drip coffee,Fruity,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,<$20,1.0,10.0,$6-$8,$8-$10,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
Al6Ypk,25-34 years old,Female,Bachelor's degree,Homemaker,,I primarily work from home,1,At home,"Pour over, Espresso, Cold brew, French press",,Latte,Fruity,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$8-$10,Yes,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
xd07Jo,35-44 years old,Non-binary,Master's degree,Employed part-time,,I do a mix of both,3,"At home, On the go","French press, Coffee brewing machine (e.g. Mr. Coffee), Bean-to-cup machine",Local cafe,Cappuccino,Caramalized,Somewhat strong,Medium,Full caffeine,3.0,Yes,Yes,Beginner,1,$20-$40,2.0,30.0,$8-$10,$8-$10,Yes,$50-$100,Yes,0,Coffee C,Coffee D,Coffee D
bl2XQ0,45-54 years old,Female,Master's degree,,,,2,At home,Pour over,,Pourover,Chocolatey,Somewhat strong,Medium,Full caffeine,5.0,Yes,,Intermediate,2,,,,,$10-$15,,$100-$300,,0,Coffee B,Coffee D,Coffee D
XeRdOY,35-44 years old,Female,Bachelor's degree,Employed full-time,,I primarily work from home,2,"At a cafe, At home, At the office, On the go",Other,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",Regular drip coffee,Full Bodied,Somewhat strong,Dark,Full caffeine,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$8-$10,No,$100-$300,No,0,Coffee B,Coffee A,Coffee B
421Y15,45-54 years old,Male,Doctorate or professional degree,Employed full-time,2,I primarily work in person,2,At home,Pour over,,Cappuccino,Juicy,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$80-$100,5.0,90.0,$8-$10,$10-$15,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
yl0pvg,35-44 years old,Male,Some college or associate's degree,Employed full-time,2,I primarily work from home,2,At home,Pour over,,Iced coffee,Bold,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$6-$8,$6-$8,No,$20-$50,Yes,0,Coffee C,Coffee A,Coffee C
kY04pR,35-44 years old,Male,Bachelor's degree,Employed full-time,2,I primarily work in person,2,At home,Espresso,,Americano,Fruity,Somewhat strong,Medium,Full caffeine,8.0,Yes,Yes,Advanced,3,$60-$80,4.0,70.0,$15-$20,More than $20,No,"More than $1,000",Yes,1,Coffee A,Coffee D,Coffee D
WAe6Bj,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,Less than 1,At home,Other,,Espresso,Nutty,Medium,Medium,Decaf,1.0,Yes,No,Beginner,1,<$20,1.0,10.0,$4-$6,$4-$6,No,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee A
EPBGrX,35-44 years old,Male,High school graduate,Employed full-time,1,I primarily work in person,2,"At the office, At home","Pour over, Espresso",,Cortado,Fruity,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,More than $20,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
GroVAj,45-54 years old,Male,Doctorate or professional degree,Employed full-time,More than 3,I primarily work from home,3,"At home, At a cafe","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",,Pourover,Sweet,Medium,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$10-$15,$10-$15,No,$500-$1000,Yes,0,Coffee B,Coffee A,Coffee B
RzZQyl,55-64 years old,Female,Bachelor's degree,Homemaker,3,I primarily work from home,2,At home,Other,,Cappuccino,Sweet,Very strong,Dark,Full caffeine,8.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$6-$8,$2-$4,No,"More than $1,000",Yes,0,Coffee B,Coffee A,Coffee B
YZob20,35-44 years old,Male,Bachelor's degree,Employed full-time,1,I do a mix of both,2,"At home, At the office","Pour over, French press",,Pourover,Bright,Somewhat light,Light,Full caffeine,3.0,Yes,Yes,Beginner,1,$20-$40,2.0,30.0,$4-$6,$6-$8,No,$20-$50,Yes,0,Coffee C,Coffee D,Coffee D
VZ9aKE,35-44 years old,Male,Some college or associate's degree,Employed full-time,2,I primarily work from home,1,At home,Pour over,,Pourover,Fruity,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$10-$15,No,$500-$1000,Yes,0,Coffee A,Coffee D,Coffee D
4210X5,45-54 years old,Female,Master's degree,Employed full-time,More than 3,I primarily work in person,3,"At the office, At home","Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",,Blended drink (e.g. Frappuccino),Sweet,Medium,Medium,Full caffeine,3.0,No,No,Beginner,1,$60-$80,4.0,70.0,$10-$15,$10-$15,Yes,$500-$1000,Yes,0,Coffee C,Coffee A,Coffee C
BGLoze,35-44 years old,Male,Master's degree,Employed full-time,1,I primarily work from home,2,"At home, At the office, At a cafe","Pour over, Coffee extract (e.g. Cometeer), Espresso",,Pourover,Sweet,Medium,Light,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,More than $20,No,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
kY04Md,25-34 years old,Male,Some college or associate's degree,Employed full-time,1,I do a mix of both,2,"At home, At the office","Espresso, French press",,Cortado,Chocolatey,Somewhat strong,Medium,Full caffeine,8.0,Yes,No,Advanced,3,$40-$60,3.0,50.0,$6-$8,$8-$10,No,"More than $1,000",No,0,Coffee B,Coffee A,Coffee B
yl0bW6,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work from home,2,At home,"Pour over, Espresso",,Pourover,Fruity,Somewhat strong,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$10-$15,No,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
bl2RdL,18-24 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,1,"On the go, At the office, At home, At a cafe","Espresso, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)","Deli or supermarket, Local cafe, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",Cold brew,Full Bodied,Very strong,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$8-$10,$6-$8,No,$50-$100,Yes,0,Coffee B,Coffee A,Coffee B
jB0r8R,25-34 years old,Male,Master's degree,Employed full-time,,I primarily work from home,1,At home,Coffee extract (e.g. Cometeer),,Iced coffee,Fruity,Somewhat strong,Light,Full caffeine,3.0,Yes,Yes,Beginner,1,$60-$80,4.0,70.0,$6-$8,$10-$15,Yes,$20-$50,Yes,0,Coffee C,Coffee D,Coffee C
EPBVKl,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,2,"At a cafe, At the office, At home","Pour over, Espresso, French press, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",,Pourover,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$80-$100,5.0,90.0,$10-$15,$15-$20,Yes,$100-$300,Yes,1,Coffee C,Coffee D,Coffee C
aBjJeX,25-34 years old,Female,Bachelor's degree,Homemaker,,I primarily work from home,2,"At a cafe, At home","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,Latte,Nutty,Medium,Light,Full caffeine,6.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$15-$20,$10-$15,No,$100-$300,Yes,0,Coffee C,Coffee A,Coffee C
MArZAp,>65 years old,Male,Bachelor's degree,Employed full-time,2,I do a mix of both,3,"At the office, At home","Espresso, French press, Cold brew, Pod/capsule machine (e.g. Keurig/Nespresso), Other",,Espresso,Sweet,Somewhat strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$6-$8,$8-$10,Yes,$100-$300,Yes,0,Coffee B,Coffee A,Coffee B
NA4vpQ,25-34 years old,,,,,,,At home,"Coffee brewing machine (e.g. Mr. Coffee), Pour over",,Cortado,Bold,Very strong,Light,Half caff,2.0,,,Beginner,1,,,,,,,,,0,,,
Al6YG0,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,"At the office, At home, At a cafe, On the go","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew","Specialty coffee shop, Local cafe, National chain (e.g. Starbucks, Dunkin)",Regular drip coffee,Caramalized,Somewhat strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$4-$6,$8-$10,Yes,$300-$500,Yes,0,Coffee B,Coffee D,Coffee B
xd0byG,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,1,At the office,,,Pourover,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,Yes,No,Intermediate,2,<$20,1.0,10.0,$4-$6,$8-$10,No,$500-$1000,Yes,0,Coffee C,Coffee D,Coffee D
ZdGkZA,25-34 years old,Male,Doctorate or professional degree,Employed full-time,,I do a mix of both,1,"At home, At the office","Pour over, French press",,Pourover,Nutty,Medium,Medium,Full caffeine,4.0,Yes,No,Intermediate,2,<$20,1.0,10.0,$4-$6,$8-$10,No,$20-$50,Yes,0,Coffee C,Coffee A,Coffee C
xd0bvk,25-34 years old,Male,Bachelor's degree,Employed full-time,,I primarily work from home,1,At home,Pour over,,Espresso,Juicy,Somewhat strong,Light,Full caffeine,7.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,More than $20,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
421Yyk,25-34 years old,Female,Master's degree,Employed full-time,,I do a mix of both,1,"On the go, At home, At a cafe","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)","Local cafe, Specialty coffee shop",Latte,Bright,Very strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$6-$8,$6-$8,Yes,$100-$300,Yes,0,Coffee A,Coffee D,Coffee D
vN069v,25-34 years old,Male,Some college or associate's degree,Employed full-time,,I primarily work from home,1,At a cafe,,,Regular drip coffee,Bright,Medium,Medium,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$10-$15,$10-$15,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee C
QAx9Ol,25-34 years old,Female,Bachelor's degree,Employed full-time,,I primarily work in person,2,"At home, At the office","Espresso, Instant coffee, Coffee brewing machine (e.g. Mr. Coffee)",,Regular drip coffee,Nutty,Medium,Medium,Full caffeine,2.0,Yes,Yes,Beginner,1,$40-$60,3.0,50.0,$6-$8,$10-$15,Yes,$20-$50,Yes,0,Coffee B,Coffee A,Coffee B
zK0B5a,25-34 years old,Female,Bachelor's degree,Employed full-time,,I do a mix of both,1,At home,"Espresso, Other",,Latte,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,No,No,Advanced,3,$20-$40,2.0,30.0,$8-$10,$8-$10,Yes,$500-$1000,Yes,0,Coffee B,Coffee A,Coffee B
7dJ0a6,35-44 years old,Male,Some college or associate's degree,Employed full-time,2,I do a mix of both,1,"At home, At the office","Pour over, Espresso",,Pourover,Juicy,Medium,Nordic,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,$8-$10,$10-$15,Yes,"More than $1,000",Yes,0,Coffee A,Coffee A,Coffee A
bl2RPe,45-54 years old,Female,Bachelor's degree,Employed full-time,,I do a mix of both,1,"At the office, At home","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,Latte,Chocolatey,Medium,Light,Full caffeine,5.0,Yes,Yes,Intermediate,2,$60-$80,4.0,70.0,$8-$10,$10-$15,Yes,$300-$500,Yes,0,Coffee B,Coffee D,Coffee D
LdExxv,25-34 years old,Non-binary,Bachelor's degree,Employed full-time,,I primarily work in person,2,At home,"Pour over, French press, Espresso, Cold brew, Other",,Pourover,Fruity,Very strong,Medium,Full caffeine,6.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$10-$15,$15-$20,Yes,$300-$500,Yes,0,Coffee A,Coffee D,Coffee D
xd0bKG,35-44 years old,Male,Bachelor's degree,Employed full-time,,I primarily work in person,1,At the office,,,Latte,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,Yes,Yes,Advanced,3,$20-$40,2.0,30.0,$8-$10,$10-$15,Yes,$300-$500,Yes,0,Coffee B,Coffee D,Coffee B
ZdGb5v,18-24 years old,Male,Bachelor's degree,Employed full-time,,I do a mix of both,1,At home,"French press, Pour over",,Pourover,Caramalized,Medium,Medium,Full caffeine,4.0,Yes,Yes,Intermediate,2,$20-$40,2.0,30.0,$8-$10,$10-$15,Yes,$500-$1000,Yes,0,Coffee A,Coffee A,Coffee A
aBjpNy,35-44 years old,Female,Master's degree,Employed full-time,2,I primarily work in person,2,At home,Espresso,,Americano,Full Bodied,Medium,Medium,Full caffeine,4.0,Yes,No,Intermediate,2,$80-$100,5.0,90.0,$4-$6,$6-$8,No,"More than $1,000",No,0,Coffee C,Coffee D,Coffee C
7dJ7L2,25-34 years old,Male,Master's degree,Employed full-time,,I do a mix of both,3,"At home, At the office",Pour over,,Iced coffee,Fruity,Medium,Medium,Full caffeine,8.0,Yes,Yes,Advanced,3,$40-$60,3.0,50.0,More than $20,$8-$10,No,$50-$100,Yes,0,Coffee C,Coffee A,Coffee C
ZdGb8A,25-34 years old,Male,Master's degree,Employed full-time,2,I do a mix of both,3,"At the office, At home","Pour over, Instant coffee, Coffee brewing machine (e.g. Mr. Coffee)",,Pourover,Chocolatey,Very strong,Medium,Full caffeine,5.0,Yes,Yes,Intermediate,2,$40-$60,3.0,50.0,$8-$10,$8-$10,Yes,$300-$500,Yes,0,Coffee C,Coffee A,Coffee C
